component	source_commit	source_mode	source_blob	integrated_mode	integrated_blob	disposition_and_path
TR3B	071abb72f65fa8286bc49c54eafefe042b8c3576	100644	b32d2ba81648a245d51b597ef7bf0ace0f018e8a	100644	fc44841c2165d22b95260c4bf3a0bd470811bfab	union:docs/ROADMAP.md
TR3B	071abb72f65fa8286bc49c54eafefe042b8c3576	100644	1086219131ba424d6ddac41e24e734c3d7b8cd4c	100644	0aa0e7abbb46eab7a970624cb4a430b7ad567788	union:docs/TR3B_OBJECTIVE_BRIDGE.md
TR3B	071abb72f65fa8286bc49c54eafefe042b8c3576	100644	f547efa886b73ab7befd63351c2626ccf0476d5d	100644	f547efa886b73ab7befd63351c2626ccf0476d5d	exact:native/tr3b_objective_bridge.c
TR3B	071abb72f65fa8286bc49c54eafefe042b8c3576	100644	c9405343b7b42f6df0b08c4fd61315df3c9f692b	100644	c9405343b7b42f6df0b08c4fd61315df3c9f692b	exact:native/tr3b_objective_bridge.h
TR3B	071abb72f65fa8286bc49c54eafefe042b8c3576	100644	0611f25cdadd1382861e289b5501cfcf7a01b444	100644	0611f25cdadd1382861e289b5501cfcf7a01b444	exact:native/tr3b_objective_extension.esk
TR3B	071abb72f65fa8286bc49c54eafefe042b8c3576	100644	500dde58edd67543b702da18b00a120f01e1c28b	100644	500dde58edd67543b702da18b00a120f01e1c28b	exact:native/tr3b_objective_root.esk
TR3B	071abb72f65fa8286bc49c54eafefe042b8c3576	100755	cd7881fe1e308159d4e3236205a852186c1a1e9c	100755	cd7881fe1e308159d4e3236205a852186c1a1e9c	exact:scripts/test-tr3b.sh
TR3B	071abb72f65fa8286bc49c54eafefe042b8c3576	100644	c80e06f034270449b29a67e485622c4ad74160da	100644	c80e06f034270449b29a67e485622c4ad74160da	exact:tests/tr3b/__init__.py
TR3B	071abb72f65fa8286bc49c54eafefe042b8c3576	100644	f74403c62725f4f8cb8d698827647764e727b8e6	100644	f74403c62725f4f8cb8d698827647764e727b8e6	exact:tests/tr3b/check_witness.py
TR3B	071abb72f65fa8286bc49c54eafefe042b8c3576	100644	6f951062c6481553441886738cf0de706fee994e	100644	6f951062c6481553441886738cf0de706fee994e	exact:tests/tr3b/prepare_fixture.py
TR3B	071abb72f65fa8286bc49c54eafefe042b8c3576	100644	5ad787fad3a2329ca83ae1629a6fe0e7945f0907	100644	5ad787fad3a2329ca83ae1629a6fe0e7945f0907	exact:tests/tr3b/test_bridge_native.c
TR3B	071abb72f65fa8286bc49c54eafefe042b8c3576	100644	2dd447004eba363679f093a5deed48597e2ded9c	100644	2dd447004eba363679f093a5deed48597e2ded9c	exact:tests/tr3b/witness.esk
TR3O	783dc576e534b241523e9b1e987933d5c5e433d0	100644	f6c4e1b8e99b35c4b25773329545158d775a1a76	100644	45acbc7404e25f679a840a0e3d064fc6de930a5e	union:Makefile
TR3O	783dc576e534b241523e9b1e987933d5c5e433d0	100644	1ab85cdfbf15b1551c82be267e7d52e924eb7111	100644	96a6e5d2c45330cf3591211ffc048918e7e3d744	union:docs/TR3_O_OPTIMIZER_TRANSACTION_PROPOSAL.md
TR3O	783dc576e534b241523e9b1e987933d5c5e433d0	100644	e266014a8db93ba2be1a7ae5dee4bdc8fa9e93ed	100644	e266014a8db93ba2be1a7ae5dee4bdc8fa9e93ed	exact:native/o2_optimizer.c
TR3O	783dc576e534b241523e9b1e987933d5c5e433d0	100644	fa25fe83099cbfe51f6b0972b1b4bf6dbb5b4769	100644	fa25fe83099cbfe51f6b0972b1b4bf6dbb5b4769	exact:native/o2_wave2_package_bridge.c
TR3O	783dc576e534b241523e9b1e987933d5c5e433d0	100644	349f734c1b8fa4e5bd01570a859b37d3f8ca29b9	100644	349f734c1b8fa4e5bd01570a859b37d3f8ca29b9	exact:native/tr3_o2_step_clear.inc
