name	exit_code	expectation	command
configure	0	build	cmake -S /home/gabe/.cache/eshkol-r0/source -B /home/gabe/.cache/eshkol-r0/work3/build -DCMAKE_BUILD_TYPE=RelWithDebInfo -DESHKOL_BUILD_TESTS=ON -DLLVM_CONFIG_EXECUTABLE=/home/gabe/.cache/eshkol-r0/llvm21/root/usr/bin/llvm-config-21
build	0	build	cmake --build /home/gabe/.cache/eshkol-r0/work3/build --parallel 2
upstream_ctest	0	upstream-tests	ctest --test-dir /home/gabe/.cache/eshkol-r0/work3/build --output-on-failure
compiler_help	0	discovery	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run --help
activations.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/activations.esk -o /home/gabe/.cache/eshkol-r0/work3/activations.aot -L /home/gabe/.cache/eshkol-r0/work3/build
activations.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/activations.aot
activations.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/activations.aot
activations.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/activations.esk -L /home/gabe/.cache/eshkol-r0/work3/build
activations.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/activations.esk -L /home/gabe/.cache/eshkol-r0/work3/build
attention.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/attention.esk -o /home/gabe/.cache/eshkol-r0/work3/attention.aot -L /home/gabe/.cache/eshkol-r0/work3/build
attention.aot_run_1	0	capability-run	/home/gabe/.cache/eshkol-r0/work3/attention.aot
attention.aot_run_2	0	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/attention.aot
attention.jit_run	0	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/attention.esk -L /home/gabe/.cache/eshkol-r0/work3/build
attention.jit_run_2	0	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/attention.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_attention.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_attention.esk -o /home/gabe/.cache/eshkol-r0/work3/autodiff_attention.aot -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_attention.aot_run_1	139	capability-run	/home/gabe/.cache/eshkol-r0/work3/autodiff_attention.aot
autodiff_attention.aot_run_2	139	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/autodiff_attention.aot
autodiff_attention.jit_run	139	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_attention.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_attention.jit_run_2	139	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_attention.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_control_flow.aot_compile	0	capability-compile	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_control_flow.esk -o /home/gabe/.cache/eshkol-r0/work3/autodiff_control_flow.aot -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_control_flow.aot_run_1	134	capability-run	/home/gabe/.cache/eshkol-r0/work3/autodiff_control_flow.aot
autodiff_control_flow.aot_run_2	134	deterministic-repeat	/home/gabe/.cache/eshkol-r0/work3/autodiff_control_flow.aot
autodiff_control_flow.jit_run	134	jit	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_control_flow.esk -L /home/gabe/.cache/eshkol-r0/work3/build
autodiff_control_flow.jit_run_2	134	jit-repeat	/home/gabe/.cache/eshkol-r0/work3/build/eshkol-run -r /home/gabe/.codex/worktrees/ed8f/eshkol-transformer/probes/r0/autodiff_control_flow.esk -L /home/gabe/.cache/eshkol-r0/work3/build
